Master of lies,1
Appears more clever than he/she is,1
Can hide in plain sight,1
Can eat enormous amounts of food,1
Can outdrink everyone at the table,1
Great at creating distractions,1
Great memory,1
Great at predictions,1
Great with animals,1
Great at inspiring and motivating people,1
Great at hiding his emotions,1
Great improvisation skills,1
Great with riddles and puzzles,1
Great with athletics,1
Great at throwing stuff with precision,1
Expert salesman,1
Expert performer,1
Expert painter,1
Expert cartographer,1
Expert on woodcrafts,1
Expert tracker,1
Expert negotiator,1
Expert cook,1
Expert healer (non-magical),1
Expert herbalist,1
Expert climber,1
Expert swimmer,1
Expert gambler,1
Expert locksmith,1
Expert pickpocket,1
Expert forger,1
Expert mimic (voices or mannerisms),1
Excellent sense of direction,1
Exceptional night vision,1
Keen sense of smell,1
Reads people extremely well,1
Quick learner,1
Can remain perfectly still for long periods,1
Can endure extreme conditions,1
