Choose a close family member or friend who could be threatened or harmed,1
Create a former ally who has become an enemy,1
Create a rival who actively opposes them,1
Choose a specific dangerous individual or group to owe a great debt to,1
Choose a promise or oath they cannot easily break,1
Choose an important responsibility in the past they abandoned or failed,1
Choose a specific serious crime you have committed,1
Choose a specific crime to be falsely accused of,1
Choose a specific enemy or organization to be hunted by,1
Choose a phobia that can be exploited,1
Choose a specific place, person, or event that triggers traumatic memories,1
Choose an unexplained or unstable ability,1
Choose something they are discriminated against due to (race, origin, or nature),1
Choose a dangerous secret that could ruin them,1
Choose a specific past disaster or tragedy they are responsible for,1
Choose a specific wrongdoing for which they seek redemption,1
Choose a prized heirloom that could be stolen or destroyed,1
Choose a specific person to rely on for emotional or practical support,1
Choose someone important with whom they have unfinished business,1
Choose a powerful patron or entity with demands to be bound to,1
Choose a knowledge others would kill to obtain,1
Choose a place, group, or cause to protect,1
Choose an unsavory organization of which they are an important member,1
Choose a dependency (substance, person, or habit) they struggle to hide,1
Choose a place they are forbidden from or unwise to returning to,1
Choose a moral line they refuse to cross that could be tested,1
Create a rumor/reputation about them that is false,1
Choose someone they love who is aligned with their enemies,1
Choose a goal that conflicts with their loyalties,1
Create a promise they made to a specific unsavory person or organization,1
