Absent-minded,1
Ambitious,1
Annoying,1
Anxious,1
Authoritative,1
Calm,1
Cheerful,1
Cold,1
Competitive,1
Content,1
Curious,1
Cynical,1
Detached,1
Dishonorable,1
Distracted,1
Driven,1
Easygoing,1
Energetic,1
Expressive,1
Fearful,1
Focused,1
Forgiving,1
Friendly,1
Generous,1
Greedy,1
Grumpy,1
Guarded,1
Helpful,1
Honorable,1
Hot-headed,1
Humorous,1
Idealistic,1
Impatient,1
Insecure,1
Irritable,1
Judgmental,1
Kind,1
Laid-back,1
Lazy,1
Dishonest,1
Manipulative,1
Melancholic,1
Moody,1
Mopey,1
Observant,1
Open,1
Optimistic,1
Overconfident,1
Patient,1
Pessimistic,1
Playful,1
Pragmatic,1
Proud,1
Rebellious,1
Relaxed,1
Reserved,1
Restless,1
Rude,1
Serious-minded,1
Serious,1
Short-tempered,1
Shy,1
Stoic,1
Stubborn,1
Submissive,1
Supportive,1
Suspicious,1
Tense,1
Unhelpful,1
Vengeful,1
Warm,1
