Apothecary,1
Armorer,1
Architect,1
Apprentice,1
Baker,1
Bandit,1
Beggar,1
Blacksmith,1
Brewer,1
Busker (Street Performer / Musician),1
Butcher,1
Camp Follower,1
Carpenter,1
Carter (cart and horse to transport goods),1
Cheesemaker,1
Cartographer,1
Cook,1
Cobbler,1
Costermonger (sells goods, especially fruit and vegetables, from a handcart in the street),1
Court Jester,1
Diplomat,1
Falconer,1
Farmer,1
Fishmonger,1
Fletcher,1
Gardener,1
Gravedigger,1
Stable Boy,1
Innkeeper,1
Jeweler,1
Locksmith,1
Mason,1
Merchant,1
Miller,1
Minstrel,1
Outlaw,1
Page (runs errands and carries messages for high ranking officials),1
Poison Tester,1
Peasant,1
Pig farmer,1
Painter,1
Ropemaker,1
Sailor,1
Scribe,1
Servant,1
Shepherd,1
Skinner,1
Soldier,1
Spy,1
Squire,1
Storyteller,1
Summoner,1
Tailor,1
Tanner,1
Tax collector,1
Trader,1
Guard,1
Weaponsmith,1
Winemaker,1
Alchemist,1
Barber,1
Bathhouse Attendant,1
Beekeeper,1
Bookbinder,1
Bounty Hunter,1
Brickmaker,1
Chandler (candle maker),1
Charcoal Burner,1
Courier / Messenger,1
Dockworker,1
Executioner,1
Fence (dealer in stolen goods),1
Fortune Teller,1
Glassblower,1
Herbalist,1
Horse Trainer,1
Hunter,1
Illuminator (manuscript artist),1
Interrogator,1
Knight,1
Librarian,1
Mercenary,1
Messenger,1
Miner,1
Monk / Nun,1
Navigator,1
Perfumer,1
Pickpocket,1
Priest / Cleric,1
Rat Catcher,1
Scholar,1
Shipwright,1
Smuggler,1
Soothsayer,1
Street Urchin,1
Surveyor,1
Tavern Worker,1
Town Crier,1
Treasure Hunter,1
Undertaker,1
Watchman,1
Woodcutter,1
