ghost,The loss of a protector or friend,1
ghost,Survivor's guilt,1
ghost,Betrayed by an ally,1
ghost,Past failure,1
ghost,Dark Secret,1
ghost,Exiled from community,1
ghost,Veteran of a great struggle,1
ghost,Orphan upbringing,1
ghost,Witnessed something traumatic,1
ghost,Living under a curse,1
ghost,Was once celebrated or famous,1
ghost,Saved someone important,1
ghost,Failed to save someone,1
ghost,Raised under strict doctrine or ideology,1
ghost,Grew up in privilege,1
ghost,Grew up in extreme poverty,1
ghost,Was mentored by a powerful figure,1
ghost,Was abandoned by a mentor,1
ghost,Committed a terrible act in the past,1
ghost,Was falsely accused of a crime,1
ghost,Discovered a hidden truth about the world,1
ghost,Made a life-defining promise,1
ghost,Broke a sacred oath,1
ghost,Was chosen for something important,1
ghost,Was overlooked or passed over,1
ghost,Lived a double life,1
ghost,Was forced to flee their homeland,1
ghost,Inherited a burden or responsibility,1
ghost,Was part of a failed rebellion or cause,1
ghost,Was betrayed by family,1
ghost,Was idolized by others growing up,1
ghost,Experienced a miraculous or unexplainable event,1
lie,Inherent unworthiness,1
lie,Trust is weakness,1
lie,Power = safety,1
lie,Happiness is unattainable,1
lie,Must go it alone,1
lie,Change is dangerous,1
lie,Emotions are a liability,1
lie,Self-sacrifice is the only way to be worthy,1
lie,Must uphold tradition,1
lie,Life is a trap,1
lie,I must be perfect to be worthy,1
lie,I am better than others,1
lie,I am defined by my past,1
lie,I cannot change who I am,1
lie,Only I can fix this,1
lie,Control is the only way to stay safe,1
lie,If I lose control everything falls apart,1
lie,People will leave if they see the real me,1
lie,My value comes from what I achieve,1
lie,I must earn love,1
lie,Love is conditional,1
lie,The world is fundamentally unjust,1
lie,Nothing I do matters,1
lie,Others are holding me back,1
lie,I deserve more than others,1
lie,Rules exist to limit me,1
lie,Strength means never showing weakness,1
lie,If I fail once I am a failure,1
lie,I must always be in control,1
lie,Peace means complacency,1
want_axis1,Revenge,1
want_axis1,Power,1
want_axis1,Love,1
want_axis1,Knowledge,1
want_axis1,Freedom,1
want_axis1,Redemption,1
want_axis1,Survival,1
want_axis1,Justice,1
want_axis1,Adventure,1
want_axis1,Recognition,1
want_axis1,Belonging,1
want_axis1,Security,1
want_axis1,Control,1
want_axis1,Respect,1
want_axis1,Glory,1
want_axis1,Escape,1
want_axis2,Specific Person,1
want_axis2,Place,1
want_axis2,Thing,1
want_axis2,State of Mind,1
want_axis2,Ability or Power,1
want_axis2,Status or Role,1
want_axis2,Belief or Ideology,1
want_axis2,Legacy,1
want_axis2,Group or Organization,1
want_axis2,Homeland,1
want_axis2,Lost Object,1
want_axis2,Enemy or Rival,1
want_axis2,Family,1
want_axis2,Self,1
want_axis2,Past Event,1
need,Accepting of Self,1
need,Trust in others,1
need,Vulnerability as Strength,1
need,Embracing Change,1
need,Emotional Honesty,1
need,Personal Happiness,1
need,Balance between self and others,1
need,Challenge tradition,1
need,Openness to love,1
need,Self-validation,1
need,Letting go of the past,1
need,Taking responsibility,1
need,Accepting help from others,1
need,Setting boundaries,1
need,Letting go of control,1
need,Self-forgiveness,1
need,Seeing others as equals,1
need,Finding purpose,1
need,Living in the present,1
need,Accepting uncertainty,1
need,Choosing connection over isolation,1
need,Trusting oneself,1
need,Acting despite fear,1
need,Seeing value beyond achievement,1
need,Releasing resentment,1
truth,Worthiness is intrinsic,1
truth,Trust builds strength,1
truth,Power does not guarantee safety,1
truth,Happiness is within reach,1
truth,Strength in community,1
truth,Change is growth,1
truth,Emotions are human,1
truth,Self-care is necessary,1
truth,Tradition can evolve,1
truth,Love is strength,1
truth,You are not defined by your past,1
truth,Control is an illusion,1
truth,Imperfection is part of being human,1
truth,Failure is part of growth,1
truth,You cannot do everything alone,1
truth,Connection gives life meaning,1
truth,Your value is not tied to achievement,1
truth,You have the power to choose,1
truth,The world is not against you,1
truth,Not everything needs to be controlled,1
truth,Letting go can be strength,1
truth,You are enough as you are,1
truth,Others are not your enemy,1
truth,You can change who you are,1
truth,Life has meaning beyond suffering,1
