Human,20
Orc,5
Elf,7
Dwarf,7
Halfling,5
Tiefling,4
Gnome,6
Half-elf,4
Half-orc,3
Goblin,4
Kenku,3
Drow,4
Dragonborn,4
Bugbear,4
Goliath,4
Ghost,2
Sentient Object,1
Hag in disguise,1
Dragon in disguise,2
Demon in disguise,1
Devil in disguise,1
Aasimar,4
Genasi,4
Firbolg,3
Tabaxi,3
Triton,2
Lizardfolk,4
Kobold,4
Hobgoblin,4
Naga/Snake Person,3
Shapeshifter,3
Robot,3
Cyborg,2
Centaur,2
Minotaur,2
Satyr,2
Fairy,2
Vampire,1
Undead,2
Plasmoid,1
Sentient Plant,1
